"Time (s)","Pressure (hPa)"
3.169747860E2,9.787335968E2
3.179323900E2,9.787214661E2
3.188899930E2,9.787214661E2
3.198476830E2,9.787818146E2
3.208054080E2,9.788932037E2
3.217631550E2,9.790355682E2
3.227208890E2,9.792044067E2
3.236786240E2,9.793775940E2
3.246363510E2,9.795427704E2
3.255939750E2,9.796803284E2
3.265516500E2,9.797851562E2
3.275093200E2,9.798551941E2
3.284669920E2,9.798954773E2
3.294246660E2,9.799065399E2
3.303823590E2,9.799065399E2
3.313399600E2,9.799005890E2
3.322976000E2,9.798883820E2
3.332552560E2,9.798726654E2
3.342128640E2,9.798649597E2
3.351704870E2,9.798580170E2
3.361281370E2,9.798325348E2
3.370857230E2,9.797943878E2
3.380432730E2,9.797423553E2
3.390008450E2,9.796605682E2
3.399584790E2,9.795662689E2
3.409160780E2,9.794425201E2
3.418736580E2,9.792935944E2
3.428312440E2,9.791077423E2
3.437888050E2,9.789014435E2
3.447464390E2,9.786565399E2
3.457040990E2,9.783916473E2
3.466617630E2,9.781306458E2
3.476194510E2,9.778838348E2
3.485771420E2,9.776420593E2
3.495348850E2,9.774186707E2
3.504925700E2,9.772248077E2
3.514502810E2,9.770632935E2
3.524079360E2,9.769203949E2
3.533654900E2,9.768048859E2
3.543231880E2,9.767216492E2
3.552808240E2,9.766436768E2
3.562383820E2,9.765699768E2
3.571959380E2,9.764972687E2
3.581535030E2,9.764202881E2
3.591110340E2,9.763159180E2
3.600685330E2,9.761975098E2
3.610260680E2,9.760604095E2
3.619835230E2,9.759059906E2
3.629409220E2,9.757272339E2
3.638984090E2,9.755405426E2
3.648558340E2,9.753448486E2
3.658132870E2,9.751409912E2
3.667707790E2,9.749418640E2
3.677282140E2,9.747596741E2
3.686855380E2,9.745858765E2
3.696429750E2,9.744184113E2
3.706003960E2,9.742478943E2
3.715578210E2,9.740601349E2
3.725152070E2,9.738513947E2
3.734725900E2,9.736243439E2
3.744298900E2,9.733864594E2
3.753872050E2,9.731508636E2
3.763445340E2,9.729174042E2
3.773019050E2,9.726834106E2
3.782593550E2,9.724528503E2
3.792167340E2,9.722260284E2
3.801741990E2,9.719972229E2
3.811316080E2,9.717739105E2
3.820890470E2,9.715525818E2
3.830464700E2,9.713285065E2
3.840038480E2,9.711077118E2
3.849611730E2,9.708854675E2
3.859184180E2,9.706565094E2
3.868756700E2,9.704235840E2
3.878329190E2,9.701970673E2
3.887901490E2,9.699742126E2
3.897474470E2,9.697484589E2
3.907047700E2,9.695246887E2
3.916620680E2,9.693074036E2
3.926193350E2,9.690953827E2
3.935766760E2,9.688912964E2
3.945339940E2,9.687078857E2
3.954912810E2,9.685481262E2
3.964485340E2,9.684127808E2
3.974058300E2,9.682888794E2
3.983631280E2,9.681843567E2
3.993203030E2,9.680969238E2
4.002775210E2,9.680276489E2
4.012347680E2,9.679780579E2
4.021919600E2,9.679584503E2
4.031492290E2,9.679584503E2
4.041064160E2,9.679852295E2
4.050636340E2,9.680336761E2
4.060207690E2,9.681055450E2
4.069778820E2,9.681907654E2
4.079350590E2,9.682936096E2
4.088922310E2,9.684146118E2
4.098494150E2,9.685514832E2
4.108065370E2,9.687062073E2
4.117636890E2,9.688799286E2
4.127208520E2,9.690658569E2
4.136780050E2,9.692521667E2
4.146351640E2,9.694313049E2
4.155922690E2,9.696003723E2
4.165494690E2,9.697525024E2
4.175066430E2,9.698948669E2
4.184637880E2,9.700202942E2
4.194209380E2,9.701295471E2
4.203780310E2,9.702146912E2
4.213352000E2,9.702870941E2
4.222923870E2,9.703424072E2
4.232495590E2,9.703897858E2
4.242066590E2,9.704370117E2
4.251637720E2,9.704904938E2
4.261208240E2,9.705458832E2
4.270779430E2,9.706040192E2
4.280350390E2,9.706683350E2
4.289921480E2,9.707274628E2
4.299492730E2,9.707775879E2
4.309063990E2,9.708138275E2
4.318635310E2,9.708299255E2
4.328206470E2,9.708299255E2
4.337777550E2,9.707998657E2
4.347348720E2,9.707635498E2
4.356920340E2,9.707291412E2
4.366491580E2,9.707046509E2
4.376062680E2,9.706697845E2
4.385632720E2,9.706388092E2
4.395200840E2,9.706005096E2
4.404770030E2,9.705583191E2
4.414339610E2,9.704871368E2
4.423908780E2,9.704344940E2
4.433477360E2,9.703885651E2
4.443046380E2,9.703476715E2
4.452616000E2,9.703089905E2
4.462185470E2,9.702693939E2
4.471755120E2,9.702212524E2
4.481324580E2,9.701612854E2
4.490893990E2,9.700836182E2
4.500463180E2,9.699910736E2
4.510032950E2,9.698862457E2
4.519601950E2,9.697702026E2
4.529171060E2,9.696494293E2
4.538740560E2,9.695192719E2
4.548310090E2,9.693851471E2
4.557880140E2,9.692391968E2
4.567450260E2,9.690903473E2
4.577020440E2,9.689414978E2
4.586589350E2,9.687928009E2
4.596158740E2,9.686482239E2
4.605727550E2,9.685039520E2
4.615296670E2,9.683663940E2
4.624866010E2,9.682231140E2
4.634435490E2,9.680818939E2
4.644005410E2,9.679412079E2
4.653574950E2,9.678175354E2
4.663144330E2,9.677045441E2
4.672713370E2,9.676085663E2
4.682282030E2,9.675279236E2
4.691850970E2,9.674701691E2
4.701419680E2,9.674701691E2
4.710988110E2,9.674842072E2
4.720556480E2,9.675257111E2
4.730124830E2,9.675959778E2
4.739693840E2,9.676857758E2
4.749262690E2,9.677567291E2
4.758831740E2,9.678349304E2
4.768401390E2,9.679302216E2
4.777971420E2,9.680332947E2
4.787540560E2,9.681259918E2
4.797109550E2,9.682405090E2
4.806678710E2,9.683731842E2
4.816248580E2,9.685255432E2
4.825818070E2,9.686974335E2
4.835386990E2,9.689056396E2
4.844956400E2,9.691169739E2
4.854525830E2,9.693350983E2
4.864094190E2,9.695489502E2
4.873662870E2,9.697649384E2
4.883232500E2,9.699805450E2
4.892801960E2,9.702002716E2
4.902371260E2,9.704225922E2
4.911940570E2,9.706420898E2
4.921509930E2,9.708650208E2
4.931079650E2,9.710910034E2
4.940648720E2,9.713121033E2
4.950217500E2,9.715351868E2
4.959786370E2,9.717591858E2
4.969355310E2,9.719786835E2
4.978924410E2,9.722002411E2
4.988494080E2,9.724345398E2
4.998064080E2,9.726667786E2
5.007633930E2,9.728987122E2
5.017203740E2,9.731165314E2
5.026772660E2,9.733124542E2
5.036342120E2,9.734815216E2
5.045911280E2,9.736230469E2
5.055481160E2,9.737263489E2
5.065051200E2,9.738037872E2
5.074621270E2,9.738528442E2
5.084190480E2,9.738836670E2
5.093759960E2,9.739120483E2
5.103329090E2,9.739498138E2
5.112898340E2,9.739950562E2
5.122468290E2,9.740579224E2
5.132037510E2,9.741198730E2
5.141606330E2,9.741754913E2
